timestamp,lineId,directionId,pointId,istop_id,distanceFromPoint,et,bus_id
1631606899996,95,4318,1128,4,0,2021-09-14 08:08:19.996,1
1631606899996,95,4318,1233,8,34,2021-09-14 08:08:19.996,2
1631606899996,95,4318,1233,8,112,2021-09-14 08:08:19.996,3
1631606963238,95,4318,1703,3,6,2021-09-14 08:09:23.238,4
1631606963238,95,4318,1128,4,217,2021-09-14 08:09:23.238,1
1631606963238,95,4318,1906,9,40,2021-09-14 08:09:23.238,3
1631606963238,95,4318,1909,10,2,2021-09-14 08:09:23.238,5
1631606963238,95,4318,3558,16,273,2021-09-14 08:09:23.238,6
1631606963238,95,4318,1453,21,0,2021-09-14 08:09:23.238,7
1631606994879,95,4318,1703,3,46,2021-09-14 08:09:54.879,4
1631606994879,95,4318,6354,5,0,2021-09-14 08:09:54.879,1
1631606994879,95,4318,1906,9,40,2021-09-14 08:09:54.879,3
1631606994879,95,4318,1909,10,0,2021-09-14 08:09:54.879,8
1631606994879,95,4318,3558,16,439,2021-09-14 08:09:54.879,6
1631606994879,95,4318,1453,21,48,2021-09-14 08:09:54.879,7
1631607027041,95,4318,1128,4,0,2021-09-14 08:10:27.041,4
1631607027041,95,4318,6354,5,0,2021-09-14 08:10:27.041,1
1631607027041,95,4318,1906,9,40,2021-09-14 08:10:27.041,3
1631607027041,95,4318,1909,10,177,2021-09-14 08:10:27.041,8
1631607027041,95,4318,4308,17,0,2021-09-14 08:10:27.041,6
1631607027041,95,4318,4313,22,34,2021-09-14 08:10:27.041,7
1631607059550,95,4318,1128,4,0,2021-09-14 08:10:59.550,4
1631607059550,95,4318,6354,5,36,2021-09-14 08:10:59.550,1
1631607059550,95,4318,1909,10,42,2021-09-14 08:10:59.550,3
1631607059550,95,4318,1909,10,354,2021-09-14 08:10:59.550,8
1631607059550,95,4318,4307,15,6,2021-09-14 08:10:59.550,9
1631607059550,95,4318,4308,17,148,2021-09-14 08:10:59.550,6
1631607059550,95,4318,4313,22,130,2021-09-14 08:10:59.550,7
1631607090668,95,4318,1128,4,23,2021-09-14 08:11:30.668,4
1631607090668,95,4318,6354,5,225,2021-09-14 08:11:30.668,1
1631607090668,95,4318,1909,10,42,2021-09-14 08:11:30.668,3
1631607090668,95,4318,4303,11,38,2021-09-14 08:11:30.668,8
1631607090668,95,4318,4308,17,268,2021-09-14 08:11:30.668,6
1631607090668,95,4318,4314,23,0,2021-09-14 08:11:30.668,7
1631607122229,95,4318,1128,4,207,2021-09-14 08:12:02.229,4
1631607122229,95,4318,6354,5,225,2021-09-14 08:12:02.229,1
1631607122229,95,4318,1909,10,42,2021-09-14 08:12:02.229,3
1631607122229,95,4318,4303,11,319,2021-09-14 08:12:02.229,8
1631607122229,95,4318,4309,18,50,2021-09-14 08:12:02.229,6
1631607122229,95,4318,4314,23,38,2021-09-14 08:12:02.229,7
1631607154535,95,4318,6354,5,0,2021-09-14 08:12:34.535,4
1631607154535,95,4318,6354,5,225,2021-09-14 08:12:34.535,1
1631607154535,95,4318,1909,10,42,2021-09-14 08:12:34.535,3
1631607154535,95,4318,4304,12,0,2021-09-14 08:12:34.535,8
1631607154535,95,4318,4309,18,80,2021-09-14 08:12:34.535,6
1631607154535,95,4318,4314,23,203,2021-09-14 08:12:34.535,7
1631607185372,95,4318,6354,5,79,2021-09-14 08:13:05.372,4
1631607185372,95,4318,6354,5,225,2021-09-14 08:13:05.372,1
1631607185372,95,4318,4304,12,198,2021-09-14 08:13:05.372,8
1631607185372,95,4318,4309,18,80,2021-09-14 08:13:05.372,6
1631607185372,95,4318,4315,24,0,2021-09-14 08:13:05.372,7
1631607216723,95,4318,6354,5,168,2021-09-14 08:13:36.723,4
1631607216723,95,4318,6354,5,225,2021-09-14 08:13:36.723,1
1631607216723,95,4318,4304,12,0,2021-09-14 08:13:36.723,10
1631607216723,95,4318,4304,12,198,2021-09-14 08:13:36.723,8
1631607216723,95,4318,4309,18,80,2021-09-14 08:13:36.723,6
1631607216723,95,4318,4315,24,36,2021-09-14 08:13:36.723,7
1631607247713,95,4318,6354,5,193,2021-09-14 08:14:07.713,4
1631607247713,95,4318,4304,12,131,2021-09-14 08:14:07.713,10
1631607247713,95,4318,4305,13,38,2021-09-14 08:14:07.713,8
1631607247713,95,4318,4310,19,40,2021-09-14 08:14:07.713,6
1631607247713,95,4318,4315,24,91,2021-09-14 08:14:07.713,7
1631607279470,95,4318,6354,5,193,2021-09-14 08:14:39.470,4
1631607279470,95,4318,4304,12,326,2021-09-14 08:14:39.470,10
1631607279470,95,4318,4305,13,49,2021-09-14 08:14:39.470,8
1631607279470,95,4318,4310,19,40,2021-09-14 08:14:39.470,6
1631607279470,95,4318,4315,24,91,2021-09-14 08:14:39.470,7
1631607310708,95,4318,6354,5,193,2021-09-14 08:15:10.708,4
1631607310708,95,4318,4305,13,228,2021-09-14 08:15:10.708,10
1631607310708,95,4318,4305,13,274,2021-09-14 08:15:10.708,8
1631607310708,95,4318,4310,19,40,2021-09-14 08:15:10.708,6
1631607310708,95,4318,4315,24,91,2021-09-14 08:15:10.708,7
1631607342603,95,4318,6354,5,193,2021-09-14 08:15:42.603,4
1631607342603,95,4318,6433,6,0,2021-09-14 08:15:42.603,11
1631607342603,95,4318,4305,13,311,2021-09-14 08:15:42.603,10
1631607342603,95,4318,4305,13,315,2021-09-14 08:15:42.603,8
1631607342603,95,4318,4307,15,6,2021-09-14 08:15:42.603,12
1631607342603,95,4318,4310,19,40,2021-09-14 08:15:42.603,6
